-1.0,-0.1,0.27,3,4,0,372,690,830,551,483,Comment allez-vous ?
-1.02,-0.12,0.27,1,1,-1,350,697,832,553,483,Comment allez-vous ?
-0.92,-0.02,0.49,-28,-5,10,280,582,739,544,453,Comment allez-vous ?
-1.25,-0.07,0.32,-15,-118,62,244,487,644,519,429,Comment allez-vous ?
-0.98,-0.1,0.44,15,36,-23,255,563,726,527,440,Comment allez-vous ?
-1.0,-0.16,0.22,-2,-5,3,272,703,846,558,467,Comment allez-vous ?
-1.0,-0.09,0.24,2,1,4,278,690,832,558,468,Comment allez-vous ?
-0.9599999,-0.07,-0.08,-18,-89,60,256,456,607,519,428,Comment allez-vous ?
-1.1,0.03,-0.14,-20,-148,87,232,456,606,524,428,Comment allez-vous ?
-1.03,-0.14,0.18,5,25,6,260,665,815,566,475,Comment allez-vous ?
-1.03,-0.1,0.23,-1,-1,4,266,675,824,560,467,Comment allez-vous ?
-1.02,-0.07,0.21,1,1,3,269,668,816,558,469,Comment allez-vous ?
-1.03,-0.02,0.21,-19,-6,-19,261,631,792,573,479,Comment allez-vous ?
-0.85,-0.17,0.18,-21,-12,17,246,467,615,521,430,Comment allez-vous ?
-0.94,-0.09,0.28,18,34,-13,248,451,592,532,428,Comment allez-vous ?
-1.03,-0.12,0.2,-1,-5,5,269,690,832,544,467,Comment allez-vous ?
-1.0,-0.1,0.22,-2,-1,3,280,681,824,547,468,Comment allez-vous ?
-0.99,-0.09,0.28,-4,1,7,279,674,817,544,464,Comment allez-vous ?
-0.76,-0.2,0.32,9,34,-32,271,456,596,515,430,Comment allez-vous ?
-1.16,0.05,0.5,18,58,-51,267,556,721,550,455,Comment allez-vous ?
-0.99,-0.24,0.28,1,18,-17,271,675,822,560,471,Comment allez-vous ?
-1.02,-0.12,0.26,-4,-7,7,276,646,793,563,467,Comment allez-vous ?
-1.39,0.03,0.61,1,-88,17,262,504,669,536,441,Comment allez-vous ?
-1.13,0.02,0.55,14,58,-38,267,543,707,549,458,Comment allez-vous ?
-1.03,-0.06,0.36,6,13,7,268,641,796,575,486,Comment allez-vous ?
-1.01,-0.2,0.23,4,12,10,278,694,841,566,479,Comment allez-vous ?
-1.0,-0.12,0.23,-1,-1,1,283,684,831,563,478,Comment allez-vous ?
-1.03,-0.11,0.23,-2,1,3,282,683,831,563,478,Comment allez-vous ?
-1.16,-0.11,0.02,-24,-116,71,260,471,623,536,439,Comment allez-vous ?
-1.07,-0.11,0.29,42,80,-75,257,491,643,531,443,Comment allez-vous ?
-1.04,-0.18,0.25,2,8,-25,272,685,835,568,471,Comment allez-vous ?
-0.99,-0.08,0.39,-14,-20,24,275,612,760,563,465,Comment allez-vous ?
-0.9,-0.07,0.24,12,35,-25,248,456,602,530,439,Comment allez-vous ?
-1.21,0.09,0.46,26,60,-86,263,534,695,519,450,Comment allez-vous ?
-0.9700001,-0.28,0.3,8,10,-20,442,695,831,566,492,Comment allez-vous ?
-1.0,-0.18,0.28,7,7,-24,447,704,838,572,495,Comment allez-vous ?
-1.01,-0.12,0.24,2,0,0,352,689,822,575,489,Comment allez-vous ?
-1.01,-0.09,0.23,0,2,4,350,689,820,576,488,Comment allez-vous ?
-0.8,-0.2,0.22,11,26,-15,253,423,567,519,428,Comment allez-vous ?
-0.91,-0.07,0.48,-5,37,-18,271,614,769,565,481,Comment allez-vous ?
-0.95,-0.16,0.29,2,9,9,276,684,828,537,484,Comment allez-vous ?
-1.05,-0.11,0.31,-7,-7,7,279,659,795,559,472,Comment allez-vous ?
-0.82,-0.07,0.26,9,27,-32,268,469,616,530,442,Comment allez-vous ?
-0.85,-0.2,0.21,6,8,-7,263,479,623,518,439,Comment allez-vous ?
-1.07,-0.02,0.37,26,24,-14,276,624,780,566,475,Comment allez-vous ?
-1.01,-0.08,0.3,-3,0,-11,292,686,826,588,492,Comment allez-vous ?
-1.01,-0.08,0.29,-9,4,11,284,652,794,582,479,Comment allez-vous ?
-1.14,0.05,0.53,-27,-33,38,274,548,707,552,454,Comment allez-vous ?
-1.03,-0.009999999,0.4,15,20,-10,279,602,760,574,477,Comment allez-vous ?
-1.07,0.02,0.51,-23,-7,7,280,646,797,593,496,Comment allez-vous ?
-1.03,-0.09,0.29,4,1,-4,293,699,840,588,496,Comment allez-vous ?
-1.03,-0.09,0.29,-4,-1,4,293,680,822,567,484,Comment allez-vous ?
-0.66,-0.33,0.31,-17,-19,-2,265,442,595,531,439,Comment allez-vous ?
-0.94,-0.15,0.37,20,41,-35,261,456,604,482,442,Comment allez-vous ?
-0.99,0.06,0.35,-17,-2,13,276,677,822,549,485,Comment allez-vous ?
-0.99,-0.14,0.28,-1,-2,2,306,704,840,552,489,Comment allez-vous ?
-0.95,-0.09,0.34,-11,10,18,284,624,767,556,467,Comment allez-vous ?
-1.05,-0.09,0.26,-28,-91,66,263,456,594,529,444,Comment allez-vous ?
-1.02,-0.009999999,0.31,6,16,2,277,616,769,579,483,Comment allez-vous ?
-1.04,0.009999999,0.47,3,13,-1,260,647,790,591,486,Comment allez-vous ?
-0.9700001,-0.15,0.28,6,4,-4,273,702,841,559,495,Comment allez-vous ?
-1.01,-0.1,0.25,-4,2,8,271,667,808,565,486,Comment allez-vous ?
-1.07,0.13,0.48,-23,-28,41,263,555,714,538,451,Comment allez-vous ?
-1.06,0.03,0.35,16,6,-8,270,593,752,560,467,Comment allez-vous ?
-0.9700001,0.02,0.44,-25,-10,21,276,611,760,575,473,Comment allez-vous ?
-1.02,-0.16,0.25,-1,4,3,291,695,838,595,496,Comment allez-vous ?
-1.0,-0.11,0.27,-4,5,5,284,646,784,579,473,Comment allez-vous ?
-1.16,-0.02,0.29,-16,-18,28,269,526,681,556,451,Comment allez-vous ?
-1.0,0.009999999,0.37,14,14,5,279,592,752,574,467,Comment allez-vous ?
-1.06,0.03,0.51,-19,-33,14,276,592,747,561,465,Comment allez-vous ?
-1.0,-0.1,0.32,-2,-1,0,332,704,838,588,499,Comment allez-vous ?
-1.01,-0.11,0.28,-5,-2,10,299,677,810,582,487,Comment allez-vous ?
-1.29,0.04,0.51,-19,-55,49,285,555,706,563,460,Comment allez-vous ?
-1.0,0.0,0.36,4,20,-11,278,635,790,601,492,Comment allez-vous ?
-1.37,0.02,0.51,-33,-135,63,258,470,624,556,446,Comment allez-vous ?
-0.99,-0.12,0.3,2,6,-4,284,700,837,608,505,Comment allez-vous ?
-1.02,-0.1,0.27,-1,-3,3,286,687,822,572,496,Comment allez-vous ?
-0.94,-0.05,0.33,-10,-2,18,282,649,787,563,482,Comment allez-vous ?
-0.98,-0.009999999,0.4,14,11,-18,274,593,757,575,480,Comment allez-vous ?
-1.05,-0.009999999,0.48,-11,3,13,250,591,723,546,454,Comment allez-vous ?
-1.01,-0.15,0.29,4,8,-5,382,696,831,588,510,Comment allez-vous ?
-1.0,-0.11,0.28,0,1,1,316,684,820,577,496,Comment allez-vous ?
